Frame,Coordenadas
0,144-992,629
0,134-990,632
0,120-999,597
0,259-207,575
0,756-204,1053
0,1212-983,1585
0,1211-981,1584
0,758-206,1056
0,262-198,597
0,271-205,575
0,753-215,1051
0,753-213,1051
0,272-871,272
0,262-196,597
0,281-879,281
0,569-630,569
0,270-871,270
0,1699-594,1699
0,1691-352,1691
0,579-623,579
0,279-885,279
0,269-427,269
0,1689-594,1689
0,581-623,581
0,259-414,259
0,1701-362,1701
0,921-842,921
0,1063-858,1063
0,1073-851,1073
0,755-388,755
0,919-847,919
0,1051-366,1051
0,753-390,753
0,672-981,672
0,1393-779,1580
0,1393-769,1582
0,1579-971,1579
0,679-1001,679
0,291-573,422
0,1211-982,1211
0,670-987,670
0,284-583,435
0,681-991,681
0,119-998,119
0,1397-357,1516
0,284-585,423
0,1393-367,1517
0,1393-559,1517
0,1221-971,1221
0,1065-639,1172
0,129-988,129
0,423-584,423
0,1385-549,1507
0,169-885,278
0,1537-215,1537
0,1064-649,1182
0,1547-217,1547
0,597-201,597
0,1452-215,1508
0,629-1001,672
0,633-989,669
1,120-999,597
1,144-992,629
1,134-990,632
1,1211-981,1584
1,1409-215,1549
1,1212-983,1585
1,756-204,1053
1,1699-594,1699
1,262-196,597
1,262-198,597
1,259-207,575
1,1393-769,1582
1,271-205,575
1,758-206,1056
1,272-871,272
1,753-213,1051
1,270-871,270
1,1689-594,1689
1,1063-858,1063
1,1393-779,1580
1,269-427,269
1,281-879,281
1,1701-362,1701
1,579-623,579
1,1693-350,1693
1,1691-352,1691
1,921-842,921
1,279-885,279
1,569-630,569
1,1579-971,1579
1,1073-851,1073
1,259-414,259
1,581-623,581
1,681-991,681
1,753-390,753
1,919-847,919
1,672-981,672
1,755-388,755
1,1051-366,1051
1,284-583,435
1,291-573,433
1,679-1001,679
1,670-987,670
1,119-998,119
1,433-581,433
1,1221-971,1221
1,423-585,423
1,1397-357,1516
1,1393-559,1517
1,284-585,422
1,1211-982,1211
1,1385-549,1507
1,1393-367,1517
1,1065-639,1172
1,1064-649,1182
1,1547-217,1547
1,597-201,597
1,129-988,129
1,169-885,278
1,763-215,1043
1,1549-210,1549
1,1537-206,1537
1,629-1001,672
2,144-992,629
2,120-999,597
2,1212-983,1585
2,1211-981,1584
2,134-990,632
2,753-215,1051
2,262-198,597
2,756-204,1053
2,262-196,597
2,271-205,575
2,758-206,1056
2,1699-594,1699
2,753-213,1051
2,279-885,279
2,1063-858,1063
2,259-207,575
2,1689-594,1689
2,272-871,272
2,270-871,270
2,1701-362,1701
2,281-879,281
2,1693-350,1693
2,921-842,921
2,1691-352,1691
2,259-414,259
2,755-388,755
2,269-427,269
2,569-630,569
2,579-623,579
2,581-623,581
2,919-847,919
2,753-390,753
2,1073-851,1073
2,1579-971,1579
2,433-581,433
2,1393-769,1582
2,681-991,681
2,1393-779,1580
2,672-981,672
2,284-583,435
2,1051-366,1051
2,679-1001,679
2,1211-982,1211
2,291-573,422
2,119-998,119
2,670-987,670
2,1393-559,1517
2,1393-367,1517
2,423-585,423
2,1397-357,1516
2,1221-971,1221
2,284-585,422
2,169-885,278
2,1385-549,1507
2,129-988,129
2,1065-639,1172
2,597-201,597
2,1064-649,1182
2,1547-217,1547
2,1549-215,1549
2,1537-215,1537
2,1443-215,1499
2,629-1001,672
3,144-992,629
3,120-999,597
3,1212-983,1585
3,1211-981,1584
3,134-990,632
3,753-215,1051
3,262-198,597
3,756-204,1053
3,262-196,597
3,271-205,575
3,758-206,1056
3,1699-594,1699
3,753-213,1051
3,279-885,279
3,1063-858,1063
3,259-207,575
3,1689-594,1689
3,272-871,272
3,270-871,270
3,1701-362,1701
3,281-879,281
3,1693-350,1693
3,921-842,921
3,1691-352,1691
3,259-414,259
3,755-388,755
3,269-427,269
3,569-630,569
3,579-623,579
3,581-623,581
3,919-847,919
3,753-390,753
3,1073-851,1073
3,1579-971,1579
3,433-581,433
3,1393-769,1582
3,681-991,681
3,1393-779,1580
3,672-981,672
3,284-583,435
3,1051-366,1051
3,679-1001,679
3,1211-982,1211
3,291-573,422
3,119-998,119
3,670-987,670
3,1393-559,1517
3,1393-367,1517
3,423-585,423
3,1397-357,1516
